domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-01-31,,,1.171.52.214,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,100.26.135.215,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,100.26.54.1,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,100.27.33.187,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,102.135.142.20,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,103.91.81.95,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,104.152.52.251,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,104.210.60.82,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,104.238.189.186,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,106.47.76.238,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,107.22.155.153,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.108.242.246,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.163.216.135,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.163.216.153,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.163.218.253,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.182.42.206,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.200.159.45,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.227.125.112,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,109.234.38.232,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,111.207.136.227,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,114.104.187.63,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,114.99.165.252,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,116.106.83.7,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,116.48.6.22,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,116.53.131.2,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,117.179.77.109,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,117.91.50.44,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,118.122.103.212,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,118.122.62.35,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,118.249.53.26,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,119.135.160.143,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,119.51.188.61,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,122.171.125.4,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,123.169.34.26,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,123.240.37.73,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,123.241.134.221,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,124.15.125.1,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,124.31.48.7,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,125.108.169.71,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,125.165.106.195,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,13.48.86.50,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,134.0.112.117,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,139.206.55.242,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,14.17.76.222,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,140.82.52.35,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,142.93.152.181,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,151.229.238.54,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,151.248.114.88,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,151.248.116.243,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,151.248.117.250,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,151.248.121.176,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,152.89.160.104,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,156.196.39.62,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,160.20.147.63,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,171.237.152.152,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,172.111.174.34,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,173.93.108.96,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,174.129.50.75,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,175.39.55.181,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.118.164.124,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.118.164.159,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.118.164.187,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.118.165.76,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.194.178.116,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.104.130,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.104.33,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.112.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.215.230.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.36.43.143,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,176.57.208.203,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.142.234.157,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.20.44.214,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,178.21.11.23,,ip,
